Unnamed: 0,english,中文
0,abacus,算盤
1,abate,減弱
2,abdication,退位
3,aberration,畸變
4,abet,助長
5,abeyance,暫存
6,abhor,痛恨
7,abide,遵守
8,abjure,棄絕
9,abraded,磨擦
10,abrogate,廢除
11,abscond,潛逃
12,abstruse,奧妙
13,abut,鄰接
14,abysmal,深淵
15,acarpous,果斷的
16,acclaimed,廣受好評
17,accolade,讚譽
18,accretion,積聚
19,adamant,堅定
20,admonitory,告誡
21,adorn,裝飾
22,adulteration,摻假
23,affable,和藹可親
24,affinity,親和力
25,aggravate,加劇
26,agile,敏捷
27,agog,激動的
28,ail,艾爾
29,alacrity,痛苦
30,alcove,壁co
31,allegiance,忠誠
32,alleviate,減輕
33,alloy,合金
34,aloof,超然
35,amalgamate,合併
36,ambidextrous,野心
37,ambiguous,模糊的
38,ambivalent,矛盾
39,ameliorate,改善
40,amortize,緩衝
41,anguish,痛苦
42,animosity,敵意
43,antidote,解毒劑
44,antithetical,對立
45,apartheid,種族隔離
46,aplomb,沉睡
47,apostate,叛教
48,apotheosis,神化
49,appease,安撫
50,apprehensive,憂慮
51,apprise,通知
52,approbation,讚許
53,apropos,apropos
54,apt,易於
55,arabesque,阿拉伯式
56,arboreal,樹木
57,ardor,熱情
58,arduous,艱鉅
59,argot,隱語
60,arrogance,傲慢
61,articulate,口號
62,ascend,上升
63,ascertain,探明
64,ascetic,苦行者
65,ascribe,歸咎於
66,aseptic,無菌
67,asperity,阿斯特
68,aspersion,誹謗
69,assail,攻擊
70,assiduous,刻苦
71,assuage,緩和
72,asterisk,星號
73,astringent,澀
74,astute,精明
75,atonement,贖罪
76,attenuate,衰減
77,attune,阿特納
78,audacious,大膽
79,augury,預備
80,august,八月
81,auspicious,吉祥
82,austere,樸素
83,auxiliary,輔助的
84,aver,斷言
85,aversion,厭惡
86,avid,狂熱
87,avow,承認
88,baleful,Baleful
89,balk,巴爾克
90,baneful,救助
91,barrage,彈幕
92,barren,荒蕪
93,bask,曬
94,beatify,勝過
95,bedizen,床
96,belabor,Belabor
97,bellicose,好鈴鐺
98,belligerent,好戰
99,benefactor,恩人
100,benevolence,仁
101,benign,良性
102,bequest,遺贈
103,berate,blate
104,bereft,失去
105,bewilder,迷人
106,bigot,偏執
107,bilge,bilge
108,blandishment,坦率
109,blandness,平淡
110,blatant,公然
111,blithe,Blithe
112,bogus,虛假
113,boisterous,熱鬧
114,bolster,加強
115,boorish,粗野
116,brash,勇敢
117,brass,黃銅
118,brazen,厚顏無恥
119,breach,違反
120,brittle,脆
121,broach,布拉奇
122,brook,溪
123,buoyant,浮力
124,burgeon,發芽
125,burnish,磨損
126,cabal,陰謀
127,cadge,乞討
128,cajole,哄騙
129,calipers,卡尺
130,calumny,誹謗
131,candid,坦率
132,cant,不能
133,cantankerous,笨蛋
134,canvass,帆布
135,castigate,鞭撻
136,castigation,施法
137,catalyst,催化劑
138,caustic,苛刻
139,censure,譴責
140,centurion,百夫長
141,chary,chary
142,chastened,責罵
143,chastisement,懲罰
144,chauvinist,沙文主義者
145,chicanery,強辯
146,chisel,鑿
147,churl,吝嗇鬼
148,clamor,叫囂
149,clientele,客戶
150,clinch,成交
151,cling,保留
152,clot,凝塊
153,cloture,凝結
154,coagulation,凝血
155,coalescing,合併
156,coax,哄
157,coda,結尾
159,coerce,脅迫
160,coeval,coeval
161,cogent,有說服力
162,cogitate,凝分
163,cognizant,認知
164,colander,濾器
165,collusion,共謀
166,combustion,燃燒
167,commemorate,紀念
168,commodious,豐盛
169,commuter,通勤者
170,complaisance,擁擠
171,compunction,綜合
172,conceal,隱藏
173,conceit,自負
174,conciliatory,和解
175,concord,和睦
176,concur,同意
177,condense,凝結
178,condone,寬恕
179,congeal,凝
180,conjoin,連接
181,connoisseur,行家
182,connotation,內涵
183,consequential,結果
184,console,安慰
185,conspicuous,顯著
186,consternation,驚愕
187,constrain,約束
188,constrict,收縮
189,consume,消耗
190,consummate,完善
191,contemn,蔑視
192,contentious,有爭議
193,contiguous,連續
194,contrite,con悔
195,contumacious,笨拙
196,conundrum,難題
197,conviction,定罪
198,convoke,召開
199,convoluted,捲曲
200,cordial,親切
201,cordon,警戒線
202,cornucopia,聚寶盆
203,corporeal,有形
204,correlate,相關
205,corroboration,佐證
206,countenance,面容
207,counterfeit,偽造
208,countervail,抵銷
209,covert,隱蔽
210,covetous,貪婪
211,cower,退縮
212,coy,y
213,crass,粗俗
214,cravat,領結
215,craven,懦夫
216,crease,摺痕
217,credulity,信譽
218,credulous,輕信
219,crush,壓碎
220,cryptic,隱秘
221,cumbersome,笨重
222,curmudgeon,Curmudgeon
223,curriculum,課程
224,cursory,粗略
225,curtail,削減
226,dainty,纖巧
227,daunt,嚇住
228,dawdler,懶人
229,dearth,缺乏
230,debacle,崩潰
231,decorum,禮儀
232,decree,法令
233,decry,譴責
234,defer,推遲
235,deferential,遞延
236,defiance,蔑視
237,delineate,描繪
238,deluge,洪水
239,demagogue,煽動
240,demur,demur
241,denigrate,貶低
242,denouement,結局
243,deplete,消耗
244,deposition,沉積
245,deprave,墮落
246,deprecate,貶低
247,dereliction,丟失
248,derision,嘲笑
249,derivative,衍生物
250,derogatory,貶
251,descry,叛亂
252,desiccant,乾燥劑
253,desuetude,廢止
254,desultory,desultory
255,deter,阻止
256,detraction,有害
257,detumescence,取代
258,deviance,偏差
259,dexterity,靈巧
260,diaphanous,透明
261,diatribe,肌
262,diffidence,差異
263,dilate,擴張
264,disallow,不允許
265,discern,辨別
266,discomfit,沮喪
267,disconcert,攪亂
268,discountenance,折扣
269,discourse,話語
270,discredit,抹黑
271,discreet,慎重
272,discrete,離散的
273,disdain,蔑視
274,disencumber,壓縮機
275,disheveled,衣衫不整
276,disingenuous,不明智
277,disinter,發掘
278,dislodge,脫落
279,dismal,慘淡
280,disparate,不同的
281,disproof,調解
282,dissemble,掩飾
283,disseminate,傳播
284,dissent,異議
285,dissolution,解散
286,distraught,心煩意亂
287,divergence,發散
288,divestiture,剝離
289,divulge,洩露
290,doggerel,狗狗
291,dogmatic,教條
292,dolt,dolt
293,dormant,休眠
294,dote,寵愛
295,drawl,drawl
296,droll,滑稽
297,drone,無人機
298,drowsiness,睡意
299,dubious,可疑
300,dud,達德
301,dulcet,dulcet
302,dupe,欺騙
303,duplicity,表裡不一
304,duress,脅迫
305,dwarf,矮人
306,dynamo,發電機
307,earthenware,陶器
308,ebullience,沸騰
309,ebullient,熱情洋溢
310,ecumenical,普世
311,edacious,饞
312,eddy,渦流
313,edible,食用
314,effete,EFFETE
315,efficacy,功效
316,effluvia,流體
317,effrontery,厚顏無恥
318,egress,出口
319,elaborate,精心製作的
320,elegy,輓歌
321,elicit,引起
322,eloquence,口才
323,emaciate,消瘦
324,embellish,潤
325,embezzle,挪用
326,emote,表情
327,empirical,經驗
328,encapsulate,封裝
329,encomium,封裝
330,encumbrance,累贅
331,endearing,可愛
332,endemic,流行
333,endorse,認可
334,enduring,持久
335,enervate,敏捷
336,engender,產生
337,engrave,雕刻
338,engrossing,令人著迷
339,engulf,吞噬
340,enigma,謎
341,enmity,敵意
342,ensign,軍旗
343,entangle,絞
344,enthral,迷人
345,entice,誘惑
346,entreat,懇求
347,enunciate,分解
348,enzyme,酶
349,epicurean,伊壁鳩魯
350,epistle,書信
351,epithet,詞
352,epitome,縮影
353,equable,公平
354,equanimity,寧靜
355,equilibrium,平衡
356,equipoise,設置
357,equivocal,模棱兩可
358,equivocate,模棱兩可
359,eradicate,根除
360,erratic,不穩定的
361,erudite,博學
362,eschew,避開
363,esoteric,深奧
364,espouse,擁護
365,eulogy,頌
366,euphoria,欣快
367,euthanasia,安樂死
368,evasive,迴避
369,evince,表明
370,evoke,喚起
371,excoriation,挖掘
372,exculpate,剝奪
373,exhaustive,詳盡無遺
374,exigency,緊急情況
375,exoneration,免除
376,exorbitant,高昂
377,expatiate,外籍
378,expedient,權宜
379,expiation,到期
380,exploit,開發
381,expostulate,拆除
382,expurgate,expurgate
383,exscind,前景
384,extant,現存
385,extempore,即興
386,extenuate,減輕
387,extinct,滅絕
388,extinguish,熄滅
389,extirpate,根除
390,extol,extol
391,extort,勒索
392,extralegal,外部
393,extricable,可以解決
394,extrovert,外向
395,exuberance,旺盛
396,facetious,方面
397,facile,便利
398,fallacious,謬誤
399,falter,步履蹣跚
400,fatuous,昏庸
401,fawn,討好
402,feckless,無情
403,fecund,Fecund
404,feint,假
405,felicitous,輕率
406,felon,重罪
407,ferment,發酵
408,ferocity,惡
409,ferret,雪貂
410,fervid,狂熱
411,fervor,熱情
412,fetid,惡作劇
413,fetter,束縛
414,feud,世仇
415,fidelity,忠誠
416,fidget,煩躁
417,figurehead,figurehead
418,finesse,技巧
419,finical,民主
420,finicky,挑剔
421,fission,裂變
422,fixate,固定
423,flak,flak
424,flamboyant,龍飛鳳舞
425,flaunting,炫耀
426,flax,亞麻
427,fledged,逃走了
428,fleet,艦隊
429,flinch,退縮
430,flop,翻牌
431,florid,佛羅里達
432,flout,Flout
433,fluster,慌亂
434,foible,怪癖
435,foil,挫敗
436,foment,罨
437,foolproof,萬無一失
438,foppish,Foppish
439,forage,飼料
440,forbear,野蠻人
441,forbearance,寬容
442,ford,福特
443,forestall,壟斷
444,forfeit,喪失
445,forge,鍛造
446,forgery,偽造
447,forswear,作偽證
448,foster,促進
449,fracas,弗卡斯
450,fragile,脆弱的
451,fragrant,香
452,frantic,瘋狂
453,frenetic,瘋狂
454,fret,煩惱
455,fringe,邊緣
456,froward,弗羅德
457,frugal,節儉
458,fulmination,轟鳴
459,fulsome,funsome
460,gainsay,否定
461,garble,斷章取義
462,garment,服裝
463,garner,加納
464,garrulity,garrulity
465,garrulous,貧嘴
466,gaucherie,Gaucherie
467,germane,德國人
468,gist,要旨
469,glean,收集
470,glib,glib
471,glimmer,微光
472,gloat,幸災樂禍
473,glut,脾氣暴躁
474,gnaw,啃
475,goad,goad
476,gorge,峽谷
477,gossamer,游絲
478,gouge,挖出
479,grandiloquent,宏偉的
480,grave,墓穴
481,graze,輕擦
482,gregarious,群居
483,grievous,痛苦
484,grovel,拜倒
485,guile,詭計
486,gullible,容易受騙
487,gush,噴
488,gust,陣風
489,hack,黑客
490,halcyon,Halcyon
491,harangue,長篇大論
492,harbinger,預兆
493,harrow,耙
494,haughty,傲慢
495,heed,注意
496,heinous,令人髮指的
497,heresy,異端
498,hermetic,密閉
499,heterogeneous,異質
500,hew,槎
501,highbrow,大眉
502,hirsute,伯斯特
503,hoax,騙局
504,hoi,hoi
505,hollow,空洞的
506,holster,皮套
507,homiletics,同類
508,hone,磨
509,hoodwink,蒙蔽
510,hospitable,好客
511,hubris,傲慢
512,hush,安靜
513,husk,果殼
514,hypocrisy,偽善
515,iconoclast,圖標
516,idiosyncrasy,特質
517,idolatry,偶像崇拜
518,idyll,牧歌
519,ignoble,無知
520,ignominious,可恥
521,illicit,非法
522,imbroglio,糾葛
523,immaculate,完美無缺
524,imminent,迫在眉睫
525,immutable,不變
526,impair,妨害
527,impassive,冷漠
528,impecunious,無禮
529,impede,阻礙
530,impediment,障礙
531,impending,即將到來的
532,imperative,至關重要的
533,imperious,專橫
534,impermeable,不可滲透
535,imperturbable,不受干擾
536,impervious,不透水
537,imperviousness,不透水
538,impetuous,浮躁
539,impiety,愚蠢
540,implacable,不於
541,implicate,暗示
542,implicit,隱式
543,implosion,內爆
544,importune,excientune
545,imprecation,詛咒
546,impromptu,即興
547,impudent,厚顏無恥
548,impugned,受傷了
549,impute,算
550,inadvertent,無意
551,inane,inane
552,inasmuch,不知所措
553,incense,香
554,incessant,不停
555,incipient,初期
556,incise,切斯
557,incite,煽動
558,inclined,傾斜
559,incongruous,不協調
560,incorrigibility,不幸
561,incredulous,令人難以置信
562,inculcate,灌輸
563,incumbents,現任者
564,incursion,侵入
565,indefatigability,不足
566,indelible,不可磨滅
567,indigence,貧困
568,indigenous,土著
569,indistinct,模糊
570,indolence,懶惰
571,indomitable,不屈不撓
572,indulge,放縱
573,indulgent,放縱
574,ineffable,無法言喻
575,ineluctable,不可避免
576,inept,無能
577,ineptitude,無能
578,inferno,地獄
579,infuriate,激怒
580,infuse,注入
581,ingenuous,巧妙
582,ingest,攝取
583,inimical,不利
584,inimitable,無比
585,innocuous,無害
586,inscrutable,難以理解
587,insinuate,暗示
588,insipid,平淡
589,insouciant,漫不經心
590,insularity,獨立性
591,insurrection,起義
592,interdict,禁令
593,interim,臨時
594,intersperse,散佈
595,intransigence,頑固
596,intransigent,固定的
597,intrepid,強悍
598,introspection,內省
599,inundate,淹沒
600,inured,被進來的
601,invective,煽動性
602,inveigh,Inveigh
603,inveterate,根深蒂固
604,invincible,無敵
605,involute,偏遠
606,irascible,暴躁
607,irate,憤怒
608,ire,憤怒
609,irksome,煩惱
610,irresolute,徊
611,irrevocable,不可撤銷
612,itinerate,伊特
613,jabber,賈伯
614,jibe,吉布
615,jocular,詼諧
616,judicious,明智
617,knit,針織
618,labyrinthine,迷宮
619,lachrymose,Lachrymose
620,lackluster,乏味
621,lament,哀嘆
622,lassitude,矮小
623,latent,潛
624,laudatory,讚美
625,lavish,豪華
626,legacy,遺產
627,levee,堤防
628,levity,利益
629,libel,誹謗
630,liberality,自由
631,libertine,自由主義者
632,lien,留置權
633,limn,林
634,limp,跛行
635,lionize,獅子
636,lithe,輕盈
637,loll,懶惰
638,lope,lope
639,loquacious,貧嘴
640,lucubrate,Lucubrate
641,luculent,勞力
642,lugubrious,Lugubious
643,lull,麻痺
644,lumber,木材
645,luminary,發光
646,lurk,潛伏
647,lustrous,有光澤
648,macabre,可怕
649,macerate,念珠
650,machination,詭計
651,maladroit,疾病
652,malapropism,不良主義
653,malevolence,惡意
654,malinger,馬林格
655,malleable,可延展
656,manacle,束縛
657,massacre,屠殺
658,matriculation,入學
659,maudlin,感傷
660,maul,打傷
661,maverick,小牛
662,mellifluous,木質
663,mendacity,謊言
664,mendicant,mendicant
665,mercurial,墨西哥
666,meretricious,精靈
667,mesmerize,催眠
668,meticulous,細緻
669,mettle,氣概
670,mettlesome,Mettlesome
671,middling,中間
672,minatory,最小的
673,mince,剁碎
674,misanthrope,瞬息萬變
675,mischievous,惡作劇
676,miser,吝嗇鬼
677,misogynist,厭惡女性主義者
678,moderation,適度
679,mollify,緩和
680,molt,蛻皮
681,morbid,病態
682,morose,慢跑
683,muffler,圍巾
684,multifarious,五花八門
685,mundane,平凡
686,myriad,無數
687,nadir,納迪爾
688,nascent,新生
689,nebulous,模糊
690,negligent,疏忽大意
691,neophyte,新手
692,nexus,關係
693,nibble,蠶食
694,noisome,嘈雜
695,nonchalant,冷淡
696,nonplused,未灌注
697,nostrum,鼻孔
698,noxious,有害
699,nugatory,欺騙
700,obdurate,胡說八道
701,obfuscate,混淆
702,oblivious,忘了
703,obloquy,漫罵
704,obsequious,低三下四
705,obstreperous,精神病
706,obtain,獲得
707,obtrusive,令人震驚
708,obtuse,鈍
709,obviate,消除
710,occluded,塞滿了
711,odious,可惡
712,odium,歐洲
713,odor,氣味
714,officious,犯罪
715,ominous,不祥的
716,onerous,繁重的
717,opprobrious,可恥
718,ossify,骨化
719,ostensible,表面
720,ostentation,吹牛
721,ostracism,排斥
722,overhaul,大修
723,overweening,過度
724,paean,佩恩
725,palate,口感
726,palatial,pale
727,palliate,palliate
728,palpability,明了
729,palpitate,悸
730,panegyric,頌
731,paradigm,範例
732,parenthesis,插入語
733,pariah,帕里亞
734,parsimonious,簡約
735,partisan,黨派
736,patron,贊助人
737,paucity,昏迷
738,peccadillo,Peccadillo
739,pedantic,pedantic
740,pedestrian,行人
741,pellucid,顆粒
742,penchant,偏愛
743,penitent,it悔
744,penurious,陰莖
745,penury,陰莖
746,peregrination,率分量
747,peremptory,蠻橫
748,perfidious,背信棄義
749,perfidy,偷偷摸摸
750,perfunctory,敷衍
751,perilous,危險
752,peripatetic,週期性
753,perish,淪
754,perjury,偽證
755,permeate,滲透
756,pernicious,有害
757,perpetrate,犯
758,personable,風度翩翩
759,perspicacity,明智
760,pertain,屬於
761,pest,害蟲
762,petrified,石化
763,petrify,石化
764,petrous,石油
765,petulant,脾氣
766,philistine,庸俗
767,phlegmatic,痰
768,picaresque,picaresque
769,pied,pied
770,pinch,捏
771,pine,松樹
772,pious,虔誠
773,piquant,靈巧
774,pique,皮克
775,pitfall,陷阱
776,pith,髓
777,pivotal,關鍵
778,placate,安撫
779,plaintive,哀怨
780,plaque,牌匾
781,platitude,陳詞濫調
782,plea,懇求
783,plead,懇求
784,plethora,過多
785,pliant,pl
786,plod,plod
787,pluck,採摘
788,plumb,垂直
789,plummet,下降
790,plunge,暴跌
791,poignant,淒美
792,poncho,雨披
793,ponderous,繁瑣
794,portent,預兆
795,precarious,不穩定
796,precepts,戒律
797,preclude,排除
798,precursory,前體
799,predilection,偏見
800,predominate,占主導
801,preen,普雷恩
802,premature,早產
803,preponderance,優勢
804,presage,預示
805,presumption,假定
806,preternatural,預製
807,prevaricate,預期
808,prim,Prim
809,pristine,原始
810,probity,廉潔
811,proclivity,傾向
812,procrastination,拖延
813,prodigal,浪子
814,prodigious,驚人
815,profane,褻瀆
816,profligacy,揮霍
817,profligate,揮霍
818,profundity,豐富性
819,profuse,大量
820,proliferate,增生
821,prolix,冗長
822,prone,易於
823,propagation,傳播
824,propinquity,接近
825,propitiatory,態度
826,propitious,吉祥
827,prosaic,平淡無奇
828,proscribe,禁止
829,protracted,長期
830,provident,公益人
831,provisional,臨時
832,provoke,惹
833,prudence,審慎
834,prudish,拘謹
835,pry,撬
836,pucker,帕克
837,pugnacious,謙虛
838,puissance,puiss
839,punctilious,鼻子
840,pundit,專家
841,pungency,刺
842,purvey,purvey
843,pusillanimous,pusillanimous
844,putrefaction,腐敗
845,pyre,Pyre
846,quack,嘎嘎
847,quaff,Quaff
848,quail,鵪鶉
849,qualm,疑慮
850,quandary,困惑
851,quell,蕩平
852,quibble,狡辯
853,quiescence,靜止
854,quiescent,靜止
855,quirk,怪癖
856,quixotic,quixotic
857,quotidian,quotidian
858,rabble,兔子
859,raconteur,RACONTEUR
860,raffish,拉絲
861,ramify,分支
862,rancorous,仇恨
863,rant,咆哮
864,rapacious,貪婪
865,rarefy,稀有
866,rave,狂歡
867,reactionary,反動
868,rebuff,回絕
869,recalcitrant,頑固
870,recant,撤離
871,recast,重鑄
872,recidivism,累犯
873,reciprocity,互惠
874,recitals,獨奏
875,recluse,隱士
876,recompense,補償
877,reconcile,調和
878,recondite,recondite
879,recreancy,怯懦
880,recuperate,療養
881,redeem,贖回
882,redoubtable,可疑
883,refine,精煉
884,refractory,耐火
885,refulgent,啟發
886,regale,款待
887,regicide,療法
888,reiterate,重申
889,rejuvenation,恢復活力
890,relapse,復發
891,remonstrate,示意
892,render,使成為
893,renovate,翻新
894,renowned,著名
895,repast,餐飲
896,repel,擊退
897,repine,抱怨
898,reproach,責備
899,reprobate,遺囑
900,repudiate,否認
901,repulsive,醜惡
902,requite,報答
903,rescind,廢除
904,resigned,辭職
905,resilience,彈力
906,resort,採取
907,restive,靜止
908,resuscitation,復甦
909,retard,減速
910,reticent,沉默寡言
911,revere,尊敬
912,reverent,崇敬
913,riddle,謎語
914,rift,裂痕
915,rivet,鉚釘
916,roll,卷
917,rotund,圓形
918,ruffian,痞子
919,rumple,隆隆
920,sagacious,明智
921,salacious,卑鄙
922,salubrious,熟練
923,salutary,有益的
924,sanctimony,庇護
925,sanction,制裁
926,sanguine,樂觀
927,sanity,理智
928,sash,窗扇
929,satiate,滿足
930,saturnine,土星
931,savant,Savant
932,savor,品嚐
933,sawdust,鋸末
934,scabbard,刀鞘
935,scent,香味
936,scorch,燒焦
937,scribble,塗
938,scurvy,壞血病
939,secular,世俗
940,sedulous,虔誠
941,seminal,開創性
942,sententious,頑皮
943,sequence,序列
944,sere,Sere
945,sermon,講道
946,serrated,鋸齒狀
947,serration,鋸齒
948,servile,奴役
949,sever,斷絕
950,severance,遣散
951,shallow,淺的
952,shard,碎片
953,sheath,鞘
954,shrewd,精明
955,shrill,尖銳
956,shun,回
957,shunt,分流
958,sidestep,迴避
959,simper,Simper
960,sinuous,彎曲
961,skiff,溜冰者
962,skit,短劇
963,slack,鬆弛
964,slake,熄滅
965,slate,石板
966,sluggard,懶漢
967,slur,sl
968,smolder,悶悶不樂
969,snare,圈套
970,snub,冷落
971,soar,飆升
972,sober,清醒
973,sobriety,清醒
974,sodden,爛
975,soggy,潮濕
976,solvent,溶劑
977,somatic,軀體
978,soot,煤煙
979,sophisticated,複雜的
980,sophistry,詭辯
981,sophomoric,幽默
982,soporific,Soporific
983,sordid,骯髒
984,spear,矛
985,specious,好像
986,splenetic,脾臟
987,splice,拼接
988,sponge,海綿
989,spurious,虛假
990,spurn,拒絕
991,squalid,骯髒
992,squander,揮霍
993,squat,蹲
994,stanch,斯坦奇
995,steeply,陡峭
996,stentorian,Stentorian
997,stickler,棒子
998,stigma,柱頭
999,sting,刺
1000,stingy,小氣
1001,stint,限制
1002,stipple,點畫
1003,stipulate,規定
1004,stolid,臭
1005,stray,流浪
1006,streak,條紋
1007,striated,條紋
1008,stride,大步
1009,strut,支撐
1010,stygian,Stygian
1011,stymie,斯蒂姆
1012,subdue,征服
1013,sublime,昇華
1014,submerge,淹沒
1015,suborn,子
1016,subpoena,傳票
1017,substantiation,證明
1018,subsume,子
1019,succor,救助
1020,suffice,足夠了
1021,suffocate,窒息
1022,sullied,沉悶
1023,summarily,摘要
1024,sumptuous,豪華
1025,sundry,雜物
1026,supercilious,極端
1027,superfluous,多餘
1028,superimpose,疊加
1029,supersede,取代
1030,supine,仰臥
1031,suppliant,供應商
1032,supplicate,哀告
1033,suppress,壓制
1034,surcharge,附加費
1035,surfeit,過量
1036,susceptibility,敏感性
1037,swerve,轉彎
1038,sycophant,si夫
1039,synopsis,概要
1040,taciturn,沉默寡言
1041,tadpole,蝌蚪
1042,talon,爪
1043,tamp,夯
1044,tangential,切線
1045,tarnished,污損
1046,tassel,流蘇
1047,taunt,嘲諷
1048,taut,拉緊
1049,tautology,重言
1050,tawdry,tawdry
1051,teetotal,teetotal
1052,temerity,temerity
1053,temperance,節制
1054,temperate,溫帶
1055,tenacity,韌性
1056,tenuous,脆弱
1057,tepid,溫和
1058,terse,簡潔
1059,testiness,易怒
1060,thrift,節約
1061,thwart,阻撓
1062,timorous,稍加言
1063,toady,拍馬屁
1064,tonic,補品
1065,topple,傾覆
1066,torment,折磨
1067,torpid,Torpid
1068,torque,扭矩
1069,tortuous,曲折
1070,tout,吹捧
1071,tractable,可處理
1072,transgress,違法
1073,transient,短暫的
1074,transitory,暫時
1075,travesty,悲慘
1076,trenchant,風質
1077,trepidation,恐懼
1078,trickle,trick流
1079,trifling,小瑣事
1080,trite,陳詞濫調
1081,truce,休戰
1082,truculence,進展
1083,trudge,跋涉
1084,turbid,混濁
1085,turbulence,湍流
1086,turgid,turgid
1087,turmoil,動盪
1088,turpitude,沮喪
1089,turquoise,綠松石
1090,tyro,初學者
1091,ubiquitous,無處不在
1092,ulterior,別有用心
1093,umbrage,蒙布拉奇
1094,uncouth,粗野
1095,underbid,不足
1096,undermine,破壞
1097,undulate,波動
1098,unearth,挖掘
1099,unencumbered,無限制
1100,unfeigned,慥
1101,unscathed,毫髮無損
1102,untoward,不利
1103,upbraid,吒
1104,urbane,彬彬有禮
1105,vacillation,搖擺不定
1106,vagary,屬性
1107,vain,徒勞
1108,valiant,英勇
1109,valorous,勇氣
1110,vanquish,征服
1111,veer,veer
1112,venal,Venal
1113,veneer,單板
1114,veneration,崇拜
1115,veracity,真實性
1116,verdant,蔥蘢
1117,verisimilitude,真實性
1118,veritable,名副其實
1119,verve,氣魄
1120,vestige,痕跡
1121,vex,煩惱
1122,vigilance,警覺
1123,vigilant,警惕的
1124,vigorous,蓬勃
1125,vilify,醜化
1126,vindictive,鬥氣
1127,virago,潑婦
1128,visceral,內臟
1129,viscous,粘性
1130,vitiate,腐爛
1131,vituperate,謾罵
1132,vivacious,活潑
1133,volatile,易揮發的
1134,volubility,能力
1135,voluble,揮發性
1136,waffle,胡扯
1137,waft,waft
1138,wag,搖擺
1139,warmonger,溫暖的人
1140,warrant,保證
1141,wean,斷奶
1142,weigh,稱重
1143,welter,韋爾特
1144,wend,溫德
1145,whimsical,異想天開
1146,wince,Wince
1147,woo,哇
1148,writ,令狀
1149,yarn,紗
